Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MYB 26560356 Chip-Seq TH1 Human,38/1610,5.33E-07,3.51E-05,0,0,2.719913298,39.29078311,NGLY1;SLA;GIMAP4;SLC2A3;GLRX;FURIN;PRDM1;RCBTB2;RAP1B;RNF138;SESN1;GPR171;PMVK;IL12RB1;GBP2;DUSP5;ANXA2;DGAT1;IL10RA;SH2D3C;NKG7;VPS37B;RHOC;TEX2;SNX20;SORL1;PNRC2;PINK1;RNF125;LPCAT4;EHBP1L1;S100A6;NUCB1;CD226;S100A4;ASB2;ATF6;SNTB2
RUNX1 22412390 ChIP-Seq EML Mouse,37/1561,6.99E-07,4.23E-05,0,0,2.722139027,38.5832313,TBC1D9B;HIP1;GMFG;ITGB3;ITPR1;GSTT2;FURIN;GLIPR1;PODNL1;CXCR3;ANXA6;CCR5;IL12RB1;BID;CCR2;DGAT1;ITPK1;F2R;NKG7;VPS37B;RHOC;LIME1;DUSP7;PNRC2;VAMP8;TPST2;DOK2;ID2;EHBP1L1;CD7;S100A6;UNC119;RAB19;RIN3;S100A4;ATF6;TMEM229B
GATA1 22383799 ChIP-Seq G1ME Mouse,37/1606,1.38E-06,7.71E-05,0,0,2.637555866,35.58884194,TBC1D9B;NARF;GMFG;ITGB3;GSTT2;TAPBPL;LYST;GNA15;RNF138;DDT;CHMP1B;GPR171;EFHD2;JAK2;BID;CDK5RAP3;SLAMF1;UBE2H;APAF1;IFNGR1;GALNT2;ITPK1;F2R;TRAFD1;UBE2G2;VPS37B;DHRS1;ASRGL1;VAMP8;DOK2;PINK1;EHBP1L1;UNC119;NUCB1;PXMP4;PLEKHO2;SIPA1
RUNX1 20887958 ChIP-Seq HPC-7 Mouse,25/870,2.11E-06,1.10E-04,0,0,3.204564666,41.87642937,TBC1D9B;CITED2;GMFG;ITGB3;NGLY1;SLA2;LYST;PSTPIP1;BAK1;IL12RB1;BID;CTSD;S100A10;CCR2;IL10RA;F2R;SH2D3C;VAMP8;TPST2;DOK2;ZYX;RAB19;PLEKHO2;ATF6;MYO1F
GATA2 22383799 ChIP-Seq G1ME Mouse,35/1522,2.92E-06,1.41E-04,0,0,2.612357604,33.2887454,PGLYRP2;TBC1D9B;INPP1;GMFG;ITGB3;NGLY1;SLA;GSTT2;LYST;LITAF;RAP1B;GLIPR1;GNA15;RNF138;DDT;CHMP1B;GPR171;EFHD2;SNX9;BID;CCR2;ITPK1;F2R;SH2D3C;NKG7;ARPC5;DUSP7;VAMP8;DOK2;PINK1;EHBP1L1;IL2RB;ZYX;EIF4E2;TMEM229B
UTX 26944678 Chip-Seq JUKART Human,36/1621,4.55E-06,2.06E-04,0,0,2.522659075,31.03155761,NARF;GIMAP4;SLC2A3;PRDM1;FOXO3;LYST;ACTG1;RAP1B;GNA15;RGS3;ORMDL3;PMVK;EFHD2;BID;CTSD;S100A11;CCR2;KDM4A;TPI1;SH2D1A;F2R;TRAFD1;VPS37B;RHOC;LIME1;SNX20;DUSP7;PNRC2;DOK2;PINK1;EHBP1L1;ZYX;S100A4;ASB2;SIPA1;SNTB2
SPI1 23547873 ChIP-Seq NB4 Human,51/2723,4.91E-06,2.10E-04,0,0,2.194088333,26.82036397,HIP1;WIPF1;CITED2;GMFG;NGLY1;GIMAP4;PRDM1;GIMAP5;SLA2;LYST;ICAM1;GLIPR1;PSTPIP1;RGS3;CHMP1B;EFHD2;OSTF1;JAK2;CDK5RAP3;DUSP5;ITPK1;SH2D3C;TRAFD1;LZTFL1;VAMP8;RNF125;EHBP1L1;RIN3;S100A4;PLEKHO2;EIF4E2;VAMP5;ITPR1;ARHGAP18;DTX1;ABRACL;GLRX;FURIN;SNX2;CXCR3;PMVK;BID;S100A11;NKG7;NBEAL2;ARPC5;TMEM154;NUCB1;SIPA1;MSRB1;SNTB2
GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human,43/2132,5.44E-06,2.19E-04,0,0,2.322060048,28.14928298,UNC119B;CITED2;ITPR1;ARHGAP18;SLC2A3;FURIN;FOXO3;HIF1A;LYST;LITAF;OAZ2;PLD3;RCBTB2;GNA15;PODNL1;RGS3;IRAK2;HLTF;PMVK;ANXA6;EFHD2;ANO10;BAK1;IFNGR1;GALNT2;ITPK1;F2R;SH2D3C;HPCAL1;TRIP4;TRAFD1;GZMB;DHRS1;TEX2;ASRGL1;LZTFL1;SYTL2;DUSP7;PRPF18;ID2;IL2RB;RANBP10;RIN3
HOXB4 20404135 ChIP-ChIP EML Mouse,29/1180,6.69E-06,2.56E-04,0,0,2.747780979,32.74023678,HIP1;CITED2;ARHGAP18;GSTT2;CROT;WDR45;CENPA;RCBTB2;CLN3;GLIPR1;SH3BGRL;GPR171;ORMDL3;PMVK;OSTF1;JAK2;BID;CDK5RAP3;UBE2H;IFNGR1;GZMB;LZTFL1;PRPF18;NPC2;ID2;NUCB1;PXMP4;RAB19;MXD1
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human,18/537,8.05E-06,2.92E-04,0,0,3.674204408,43.09584664,ENTPD1;CITED2;SLC2A3;TEX2;LIME1;SORL1;DUSP7;TPST2;GLIPR1;GNA15;SNX2;IRAK2;SESN1;CCL5;EPSTI1;S100A4;OSTF1;GBP2
NCOR 22465074 ChIP-Seq MACROPHAGES Mouse,35/1604,9.27E-06,3.20E-04,0,0,2.464743033,28.56379432,WIPF1;CITED2;ITGB3;ARHGAP18;GSTT2;PRDM1;FOXO3;HIF1A;LITAF;PLD3;RCBTB2;ACTG1;RAP1B;GLIPR1;SNX2;SESN1;CCL5;JAK2;BID;CTSD;S100A10;DUSP5;APAF1;IFNGR1;GALNT2;HPCAL1;ARPC5;RHOC;SNX20;S100A6;UNC119;RIN3;PLEKHO2;ATF6;SIPA1
TAL1 20566737 ChIP-Seq PRIMARY FETAL LIVER ERYTHROID Mouse,33/1492,1.32E-05,4.35E-04,0,0,2.484077766,27.90996561,NARF;CITED2;SLA;SLC2A3;GLRX;FURIN;ABCB9;PRDM1;SLA2;FOXO3;LYST;ACTG1;RAP1B;SESN1;ORMDL3;NCK2;CCR5;CDK5RAP3;DUSP5;UBE2H;GALNT2;IL10RA;F2R;UBE2G2;VPS37B;LZTFL1;TMEM154;PRPF18;UNC119;CD226;RIN3;PLEKHO2;SIPA1
PU 27001747 Chip-Seq BMDM Mouse,34/1573,1.55E-05,4.89E-04,0,0,2.430282534,26.91631237,L3MBTL3;NARF;WIPF1;CITED2;INPP1;ITGB3;SLA;ARHGAP18;GSTT2;PRDM1;FOXO3;HIF1A;ACTG1;HSD11B1;RAP1B;GLIPR1;SNX2;SESN1;ORMDL3;ANXA6;NCK2;JAK2;APAF1;IFNGR1;ITPK1;HPCAL1;UBE2G2;DHRS1;TMEM154;DOK2;UNC119;EIF4E2;ATF6;SIPA1
SMRT 22465074 ChIP-Seq MACROPHAGES Mouse,34/1580,1.70E-05,5.14E-04,0,0,2.418351284,26.56096997,L3MBTL3;WIPF1;CITED2;INPP1;GMFG;ITGB3;ARHGAP18;GSTT2;LITAF;RAP1B;GLIPR1;PSTPIP1;SNX2;CHMP1B;CCL5;JAK2;CTSD;DUSP5;ENTPD1;DGAT1;IFNGR1;HPCAL1;DNAJC15;SORL1;DUSP7;PNRC2;VAMP8;DOK2;EHBP1L1;RANBP10;S100A4;PLEKHO2;TMEM229B;SNTB2
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse,18/570,1.80E-05,5.22E-04,0,0,3.448638318,37.68460397,DUSP5;CSF1;APAF1;CITED2;FURIN;ARPC5;FOXO3;HIF1A;ICAM1;MAF;ID2;SESN1;ZYX;BAK1;JAK2;ATF6;CTSD;SIPA1
PPARA 22158963 ChIP-Seq LIVER Mouse,33/1552,2.93E-05,8.18E-04,0,0,2.378152188,24.82362798,NARF;CITED2;GSTT2;AK3;GLRX;FURIN;FOXO3;HIF1A;LYST;LITAF;OAZ2;HSD11B1;DDT;ORMDL3;ANXA6;BAK1;BID;S100A10;APLP2;HIP1R;UBE2G2;VPS37B;RHOC;TEX2;TPST2;RNF125;ID2;SPATA13;ZYX;UNC119;PXMP4;MXD1;ATF6
MEIS1 20887958 ChIP-Seq HPC-7 Mouse,26/1092,3.60E-05,9.69E-04,0,0,2.62601626,26.86606615,UNC119B;NARF;GMFG;ITGB3;NGLY1;GIMAP4;GLRX;PSTPIP1;SESN1;ORMDL3;NCK2;IL12RB1;CDK5RAP3;SLAMF1;CCR2;KDM4A;UBE2H;IL10RA;SH2D3C;NKG7;DOK2;MAF;ZYX;RIN3;PLEKHO2;EIF4E2
GATA3 26560356 Chip-Seq TH2 Human,33/1583,4.33E-05,0.001123547,0,0,2.326637048,23.37481493,UNC119B;WIPF1;CITED2;SLC2A3;PRDM1;FOXO3;LYST;GNA15;IRAK2;GPR171;PMVK;ANXA6;EFHD2;ANO10;BID;GBP2;S100A11;SLAMF1;CCR2;TRAFD1;ARPC5;DHRS1;LIME1;SNX20;SDCBP2;SORL1;PNRC2;RAET1E;NPC2;ID2;CD226;ASB2;TMEM229B
LUZP1 20508642 ChIP-Seq ESCs Mouse,31/1480,6.99E-05,0.001749156,0,0,2.323091624,22.22937636,L3MBTL3;TBC1D9B;CITED2;ITGB3;ARHGAP18;GSTT2;PRDM1;FOXO3;LYST;ACTG1;RAP1B;GLIPR1;GNA15;DDT;SESN1;ORMDL3;ANXA6;CDK5RAP3;APAF1;IFNGR1;ITPK1;HPCAL1;UBE2G2;TEX2;RAET1E;ID2;CD7;UNC119;RIN3;ASB2;TMEM229B
MAF 26560356 Chip-Seq TH2 Human,33/1627,7.39E-05,0.001768788,0,0,2.256959106,21.4711315,SLA;SLC2A3;FURIN;LYST;LITAF;ACTG1;GNA15;DDT;GPR171;ANXA6;GBP2;S100A11;S100A10;SLAMF1;DUSP5;ANXA2;HPCAL1;ARPC5;VPS37B;RHOC;SNX20;SORL1;PNRC2;PINK1;EHBP1L1;CD7;S100A6;UNC119;RAB19;CD226;ASB2;SIPA1;MYO1F
RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human,65/4172,7.55E-05,0.001768788,0,0,1.839758678,17.46119278,HIP1;NARF;FAM89B;WIPF1;CITED2;GMFG;SLA;SLC2A3;SLA2;ICAM1;RCBTB2;RGS3;ANXA6;NCK2;CTSD;CDK5RAP3;DUSP5;IFNGR1;APLP2;ITPK1;F2R;SH2D3C;HPCAL1;TRAFD1;VPS37B;TEX2;SYTL2;DOK2;MAF;SPATA13;EHBP1L1;S100A6;RIN3;S100A4;PLEKHO2;EIF4E2;UNC119B;ARHGAP18;AK3;GLRX;ABCB9;FOXO3;PLD3;HSD11B1;RAP1B;GNA15;RNF138;ORMDL3;ANO10;IL12RB1;CTSA;PRELID1;GALNT2;IL10RA;NBEAL2;ARPC5;SNX20;SORL1;ID2;CD7;ZYX;NUCB1;MXD1;MYO1F;TMEM229B
TCF7 22412390 ChIP-Seq EML Mouse,33/1635,8.12E-05,0.001841341,0,0,2.244701608,21.14301314,TBC1D9B;HIP1;CITED2;FURIN;SLA2;FOXO3;LITAF;OAZ2;RCBTB2;ACTG1;RAP1B;PSTPIP1;GNA15;RNF138;ORMDL3;JAK2;BID;S100A11;F2R;SH2D3C;NBEAL2;UBE2G2;ARPC5;RHOC;DUSP7;PNRC2;VAMP8;TPST2;DOK2;RNF125;ID2;ASB2;SIPA1
PPARG 20176806 ChIP-Seq MACROPHAGES Mouse,25/1083,8.46E-05,0.001860165,0,0,2.530650824,23.73277923,HIP1;ITPR1;SLA;ARHGAP18;PRDM1;LITAF;NCK2;SNX9;CDK5RAP3;CCR2;DGAT1;TMEM120A;SH2D3C;HPCAL1;UBE2G2;TEX2;DNAJC15;SORL1;ASRGL1;TMEM154;MAF;ID2;SPATA13;PLEKHO2;ASB2
CTCF 21964334 Chip-Seq Bcells Human,33/1646,9.23E-05,0.00197011,0,0,2.228046078,20.70045415,UNC119B;L3MBTL3;SLC2A3;PPM1J;LYST;ICAM1;RGS3;PMVK;CASP4;EFHD2;CCR5;JAK2;CDK5RAP3;S100A11;S100A10;DUSP5;TPI1;GALNT2;ITPK1;ARPC5;DHRS1;ASRGL1;MFSD10;DUSP7;PNRC2;DOK2;PINK1;PRPF18;MAF;EHBP1L1;S100A6;ATF6;MYO1F
SMC1 22415368 ChIP-Seq MEFs Mouse,32/1583,1.03E-04,0.002120489,0,0,2.241134752,20.58298289,L3MBTL3;HIP1;CSF1;CITED2;INPP1;ITPR1;ARHGAP18;GSTT2;SLC2A3;PPM1J;PRDM1;FOXO3;LYST;LITAF;GNA15;DDT;NCK2;CDK5RAP3;S100A11;ITPK1;F2R;RHOC;DHRS1;SDCBP2;DUSP7;MAF;LPCAT4;EHBP1L1;CD7;S100A6;MXD1;MYO1F
AF4 26711339 ChIP-Seq SEM Human Blood Leukemia,50/2966,1.05E-04,0.002120489,0,0,1.930041152,17.67944653,WIPF1;CITED2;NGLY1;SLC2A3;LITAF;RCBTB2;ACTG1;SESN1;NCK2;JAK2;CDK5RAP3;ANXA2;APAF1;IFNGR1;APLP2;TRAFD1;VPS37B;TEX2;DUSP7;VAMP8;RNF125;SPATA13;RIN3;ATF6;VAMP5;L3MBTL3;ITPR1;ARHGAP18;AK3;GLRX;FURIN;TAPBPL;FOXO3;HIF1A;RAP1B;GNA15;RNF138;IRAK2;PMVK;BID;S100A10;SLAMF1;UBE2H;GALNT2;TRIP4;ARPC5;TMEM154;PNRC2;ID2;MYO1F
STAT6 20620947 ChIP-Seq CD4 POS T Human,12/334,1.43E-04,0.002812222,0,0,3.86110744,34.17239368,GNA15;GPR171;ITPR1;NCK2;SLA;RIN3;SNX9;FURIN;PRDM1;LIME1;SORL1;S100A11
GATA3 27048872 Chip-Seq THYMUS Human,32/1617,1.52E-04,0.002901593,0,0,2.188974012,19.24646455,INPP1;SLA;GLRX;FOXO3;ACTG1;GNA15;CCL5;GPR171;ORMDL3;EPSTI1;EFHD2;JAK2;IL12RB1;CDK5RAP3;S100A11;SLAMF1;IFNGR1;SH2D1A;SH2D3C;NBEAL2;SORL1;TMEM154;ID2;ZYX;SIDT1;UNC119;CD226;RIN3;ATF6;MYO1F;TMEM229B;SNTB2
RUNX 20019798 ChIP-Seq JUKART Human,15/505,1.79E-04,0.003331839,0,0,3.195256481,27.56937301,WIPF1;TMEM120A;SH2D1A;TRIP4;SLA;NBEAL2;ARPC5;RCBTB2;SYTL2;RAP1B;DOK2;RNF125;MAF;ORMDL3;RIN3
PBX 27287812 Chip-Seq EMBYONIC-LIMB Mouse,30/1490,1.86E-04,0.00337594,0,0,2.216760677,19.04142451,SLA;DTX1;GLRX;SLA2;PSTPIP1;GNA15;SESN1;CCL5;HLTF;ANXA6;EFHD2;BID;KLRG1;DUSP5;KDM4A;ITPK1;SH2D3C;SDCBP2;ASRGL1;SYTL2;TMEM154;VAMP8;DOK2;PINK1;RAET1E;MAF;IL2RB;RIN3;PLEKHO2;ASB2
SCL 19346495 ChIP-Seq HPC-7 Human,9/201,1.97E-04,0.003492442,0,0,4.812172775,41.05328173,VAMP8;RAP1B;ENTPD1;IL10RA;ITGB3;HPCAL1;FOXO3;LYST;RCBTB2
RUNX1 30185409 ChIP-Seq HPC Mouse BoneMarrow Leukemia,46/2724,2.08E-04,0.003588949,0,0,1.909769842,16.19442108,UNC119B;TBC1D9B;HIP1;NGLY1;SLC2A3;GLRX;CROT;SLA2;LYST;ICAM1;ACTG1;RAP1B;PODNL1;RNF138;CXCR3;SESN1;GPR171;SNX9;CIR1;OSTF1;PGLYRP1;BID;DUSP5;ENTPD1;ANXA2;APLP2;SH2D3C;HIP1R;TRIP4;TRAFD1;UBE2G2;VPS37B;TEX2;SDCBP2;DUSP7;TPST2;DOK2;RNF125;PRPF18;LPCAT4;ID2;EHBP1L1;UNC119;ATF6;VAMP5;TMEM229B
LXR 22158963 ChIP-Seq LIVER Mouse,31/1578,2.22E-04,0.003748889,0,0,2.164307325,18.20755047,TBC1D9B;ITPR1;ARHGAP18;GSTT2;CROT;FOXO3;LYST;LITAF;RCBTB2;RAP1B;IRAK2;ORMDL3;EFHD2;BAK1;S100A10;KDM4A;GALNT2;TMEM120A;TRAFD1;UBE2G2;VPS37B;TMEM154;TPST2;PINK1;RNF125;MAF;ID2;SPATA13;PXMP4;ASB2;ATF6
KDM2B 26808549 Chip-Seq DND41 Human,32/1657,2.36E-04,0.003899014,0,0,2.13040293,17.78969973,HIP1;FAM89B;ITPR1;DTX1;FURIN;PPM1J;FOXO3;LYST;ACTG1;GNA15;PMVK;EFHD2;BAK1;CTSD;DUSP5;KDM4A;GALNT2;APLP2;TMEM120A;F2R;HPCAL1;HIP1R;TRAFD1;DUSP7;PNRC2;PINK1;MAF;ID2;EHBP1L1;CD7;SIDT1;TMEM229B
SPI1 22096565 ChIP-ChIP GC-B Mouse,23/1032,2.74E-04,0.004395389,0,0,2.419988465,19.84634391,ENTPD1;L3MBTL3;NARF;CITED2;GMFG;SH2D3C;HIP1R;TRIP4;GSTT2;DTX1;TAPBPL;GIMAP5;VPS37B;CENPA;ICAM1;PNRC2;RAET1E;ID2;ANXA6;CASP1;RAB19;OSTF1;S100A10
GATA1 19941827 ChIP-Seq MEL Mouse,29/1453,2.79E-04,0.004395389,0,0,2.188481503,17.91385847,WIPF1;ITGB3;SLA;SLC2A3;ICAM1;ORMDL3;NCK2;CCR5;JAK2;CTSD;DUSP5;IL10RA;HPCAL1;VPS37B;TEX2;TMEM154;VAMP8;DOK2;RNF125;EHBP1L1;RANBP10;ZYX;SIDT1;S100A6;CD226;RIN3;S100A4;PLEKHO2;VAMP5
STAT5A 24692510 ChIP-Seq Epithelium Mouse Mammary,36/1977,2.89E-04,0.004395389,0,0,2.019715761,16.45611523,TBC1D9B;WIPF1;INPP1;GMFG;ITGB3;ITPR1;ABRACL;PPM1J;ABCB9;HIF1A;LITAF;RCBTB2;RAP1B;ORMDL3;CASP4;EFHD2;PGLYRP1;GBP2;CTSD;UBE2H;GBP7;APLP2;TMEM120A;UBE2G2;VPS37B;RHOC;TEX2;SDCBP2;MFSD10;PINK1;NPC2;ID2;SELENOP;ZYX;ATF6;MSRB1
EOMES 20176728 ChIP-ChIP TSCs Mouse,26/1243,2.91E-04,0.004395389,0,0,2.281651697,18.5807406,CITED2;INPP1;ARHGAP18;GSTT2;SLC2A3;ABCB9;WDR45;LITAF;ACTG1;RGS3;IRAK2;CXCR3;ORMDL3;SNX9;S100A10;ANXA2;APLP2;VPS37B;DHRS1;SORL1;LZTFL1;SYTL2;DUSP7;DOK2;PINK1;ID2
RACK7 27058665 Chip-Seq MCF-7 Human,32/1679,2.99E-04,0.004427828,0,0,2.099401509,17.03785195,CITED2;SLC2A3;FURIN;ABCB9;FOXO3;LITAF;ACTG1;CHMP1B;PMVK;NCK2;S100A11;S100A10;GALNT2;APLP2;ITPK1;HPCAL1;NBEAL2;ARPC5;VPS37B;RHOC;TEX2;PNRC2;TPST2;PINK1;ID2;SPATA13;EHBP1L1;ZYX;S100A6;S100A4;ASB2;TMEM229B
E2F1 18555785 ChIP-Seq MESCs Mouse,49/3015,3.06E-04,0.004429408,0,0,1.841769636,14.90324178,CITED2;NGLY1;SLC2A3;CROT;PRDM1;WDR45;LITAF;ICAM1;RCBTB2;ACTG1;ANXA6;NCK2;CTSD;CDK5RAP3;TPI1;ANXA2;APAF1;APLP2;ITPK1;HPCAL1;ASRGL1;DUSP7;RNF125;PRPF18;NPC2;S100A6;EIF4E2;ATF6;TBC1D9B;ITPR1;AK3;PPM1J;TAPBPL;HIF1A;SNX2;RNF138;PMVK;BAK1;BID;S100A11;S100A10;CTSA;UBE2G2;ARPC5;PNRC2;ID2;RANBP10;UNC119;RAB19
AF4 28076791 ChIP-Seq SEM Human Blood Leukemia,17/652,3.11E-04,0.004429408,0,0,2.803708963,22.64054895,L3MBTL3;NARF;APAF1;GALNT2;NGLY1;HPCAL1;SLC2A3;FURIN;VPS37B;HIF1A;SORL1;RCBTB2;RAP1B;RNF125;NCK2;RIN3;SIPA1
UBF1/2 26484160 Chip-Seq HMECs Human,31/1614,3.29E-04,0.004512236,0,0,2.110915908,16.92938588,UNC119B;CSF1;ITGB3;FURIN;FOXO3;HIF1A;LITAF;ACTG1;GNA15;PODNL1;RGS3;PMVK;CTSD;S100A11;S100A10;DUSP5;TPI1;GALNT2;APLP2;ITPK1;VPS37B;TEX2;LIME1;TMEM154;RAET1E;MAF;S100A6;CD226;S100A4;PLEKHO2;SNTB2
GATA2 20887958 ChIP-Seq HPC-7 Mouse,27/1324,3.29E-04,0.004512236,0,0,2.226485308,17.85245023,TBC1D9B;GMFG;ITGB3;ARHGAP18;FURIN;SLA2;HSD11B1;RNF138;CCL5;GPR171;ORMDL3;BAK1;SLAMF1;DUSP5;GALNT2;IL10RA;F2R;SH2D3C;VPS37B;VAMP8;TPST2;DOK2;RNF125;ZYX;S100A4;PLEKHO2;ATF6
RAD21 21589869 ChIP-Seq MESCs Mouse,30/1546,3.49E-04,0.004695196,0,0,2.128356356,16.9412515,TBC1D9B;HIP1;CITED2;GMFG;GSTT2;DTX1;FURIN;PPM1J;PRDM1;IRAK2;ANXA6;EFHD2;CIR1;BID;CDK5RAP3;S100A11;UBE2H;UBE2G2;ARPC5;VPS37B;ASRGL1;PINK1;RNF125;NPC2;ID2;CD7;SIDT1;S100A6;EIF4E2;MYO1F
